id;start_date;end_date;language
1;2020-07-26T01:34:01;2020-07-25T23:24:16;SPANISH
2;2020-07-25T06:24:12;2020-07-26T01:28:37;SPANISH
3;2020-07-25T21:19:31;2020-07-25T07:53:40;FRENCH
4;2020-07-25T12:37:02;2020-07-26T00:08:28;FRENCH
5;2020-07-25T22:07:20;2020-07-26T02:54:19;FRENCH
6;2020-07-25T15:59:41;2020-07-26T04:07:55;FRENCH
7;2020-07-25T17:45:01;2020-07-25T11:35:52;FRENCH
8;2020-07-25T16:41:14;2020-07-26T02:57:22;SPANISH
9;2020-07-25T15:22:23;2020-07-25T12:03:46;SPANISH
10;2020-07-25T23:34:27;2020-07-25T10:08:57;SPANISH
